OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2657,2015/01/01 16:00:00+00,CA,Centro,O3,Regular,65
2658,2015/01/01 16:00:00+00,AV,Copacabana,PI,Regular,53
2659,2015/01/01 16:00:00+00,SC,São Cristóvão,O3,Regular,92
2660,2015/01/01 16:00:00+00,SP,Tijuca,O3,Regular,94
2661,2015/01/01 16:00:00+00,IR,Irajá,O3,Regular,68
2662,2015/01/01 16:00:00+00,BG,Bangu,Indisponivel,Indisponivel,
2663,2015/01/01 16:00:00+00,CG,Campo Grande,O3,Boa,48
2664,2015/01/01 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,63
2665,2015/01/02 16:00:00+00,CA,Centro,O3,Regular,63
2666,2015/01/02 16:00:00+00,AV,Copacabana,O3,Regular,74
2667,2015/01/02 16:00:00+00,SC,São Cristóvão,O3,Inadequada,120
2668,2015/01/02 16:00:00+00,SP,Tijuca,O3,Inadequada,166
2669,2015/01/02 16:00:00+00,IR,Irajá,O3,Regular,84
2670,2015/01/02 16:00:00+00,BG,Bangu,O3,Regular,78
2671,2015/01/02 16:00:00+00,CG,Campo Grande,O3,Regular,65
2672,2015/01/02 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,61
2673,2015/01/03 16:00:00+00,CA,Centro,O3,Regular,51
2674,2015/01/03 16:00:00+00,AV,Copacabana,O3,Boa,49
2675,2015/01/03 16:00:00+00,SC,São Cristóvão,O3,Regular,51
2676,2015/01/03 16:00:00+00,SP,Tijuca,O3,Regular,58
2677,2015/01/03 16:00:00+00,IR,Irajá,O3,Regular,58
2678,2015/01/03 16:00:00+00,BG,Bangu,O3,Regular,72
2679,2015/01/03 16:00:00+00,CG,Campo Grande,O3,Boa,50
2680,2015/01/03 16:00:00+00,PG,Pedra de Guaratiba,PI,Regular,66
2681,2015/01/04 16:00:00+00,CA,Centro,O3,Boa,24
2682,2015/01/04 16:00:00+00,AV,Copacabana,PI,Boa,38
2683,2015/01/04 16:00:00+00,SC,São Cristóvão,O3,Boa,44
2684,2015/01/04 16:00:00+00,SP,Tijuca,O3,Regular,53
2685,2015/01/04 16:00:00+00,IR,Irajá,O3,Regular,60
